Status: Optimal
StorageProducts_0_1_2 = 0.0
StorageProducts_0_1_3 = 0.0
StorageProducts_0_2_0 = 0.0
StorageProducts_0_2_1 = 0.0
StorageProducts_0_2_2 = 0.0
StorageProducts_0_2_3 = 0.0
StorageProducts_1_0_0 = 1200.0
StorageProducts_1_0_1 = 0.0
StorageProducts_1_0_2 = 1200.0
StorageProducts_1_0_3 = 1200.0
StorageProducts_1_1_0 = 500.0
StorageProducts_1_1_1 = 0.0
StorageProducts_1_1_2 = 500.0
StorageProducts_1_1_3 = 500.0
StorageProducts_1_2_0 = 0.0
StorageProducts_1_2_1 = 0.0
StorageProducts_1_2_2 = 0.0
StorageProducts_1_2_3 = 0.0
StorageProducts_2_0_0 = 2400.0
StorageProducts_2_0_1 = 0.0
StorageProducts_2_0_2 = 2400.0
StorageProducts_2_0_3 = 2400.0
StorageProducts_2_1_0 = 1000.0
StorageProducts_2_1_1 = 0.0
StorageProducts_2_1_2 = 1000.0
StorageProducts_2_1_3 = 1000.0
StorageProducts_2_2_0 = 0.0
StorageProducts_2_2_1 = 0.0
StorageProducts_2_2_2 = 0.0
StorageProducts_2_2_3 = 0.0
TransportedProducts_0_0_0_0 = 2400.0
TransportedProducts_0_0_0_1 = 0.0
TransportedProducts_0_0_0_2 = 2400.0
TransportedProducts_0_0_0_3 = 2400.0
TransportedProducts_0_0_1_0 = 0.0
TransportedProducts_0_0_1_1 = 0.0
TransportedProducts_0_0_1_2 = 0.0
TransportedProducts_0_0_1_3 = 0.0
TransportedProducts_0_1_0_0 = 1000.0
TransportedProducts_0_1_0_1 = 0.0
TransportedProducts_0_1_0_2 = 1000.0
TransportedProducts_0_1_0_3 = 1000.0
TransportedProducts_0_1_1_0 = 0.0
TransportedProducts_0_1_1_1 = 0.0
TransportedProducts_0_1_1_2 = 0.0
TransportedProducts_0_1_1_3 = 0.0
TransportedProducts_0_2_0_0 = 0.0
TransportedProducts_0_2_0_1 = 0.0
TransportedProducts_0_2_0_2 = 0.0
TransportedProducts_0_2_0_3 = 0.0
TransportedProducts_0_2_1_0 = 0.0
TransportedProducts_0_2_1_1 = 0.0
TransportedProducts_0_2_1_2 = 0.0
TransportedProducts_0_2_1_3 = 0.0
TransportedProducts_1_0_0_0 = 2400.0
TransportedProducts_1_0_0_1 = 0.0
